Sid|Category|Title|Professor|Created at|Corpus|Description|Course
0|Biology|Biology||2009-09-22T18:25:07Z|Khan Academy|Covers topics seen in a first year college or high school biology course.|PL7A9646BC5110CF64
1|Economics|Intro to Economics||2019-04-01T15:38:08Z|Khan Academy|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain|PLSQl0a2vh4HDERCw_ddanXbsDpFWcpL-S
2|Maths|Linear Algebra||2008-06-08T03:32:44Z|Khan Academy|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|PLFD0EB975BA0CC1E0
3|Maths|Introduction to Euclidean geometry , Geometry , Khan Academy||2018-07-05T20:57:19Z|Khan Academy||PLSQl0a2vh4HDCasLssY8bUV2qwDkZeOYL
4|Maths|Trigonometry||2007-10-28T16:41:20Z|Khan Academy|"Videos on trigonometry.  Watch the ""Geometry"" playlist first if you have trouble understanding the topics covered here."|PLD6DA74C1DBF770E7
5|Maths|Statistics||2009-02-16T06:15:32Z|Khan Academy|Introduction to statistics.  Will eventually cover all of the major topics in a first-year statistics course (not there yet!)|PL1328115D3D8A2566
6|Maths|Probability||2008-05-03T19:35:49Z|Khan Academy|Basic probability.  Should have a reasonable grounding in basic algebra before watching.|PLC58778F28211FA19
7|Maths|Precalculus||2007-10-20T22:00:30Z|Khan Academy|"Non-trigonometry pre-calculus topics.  Solid understanding of all of the topics in the ""Algebra"" playlist should make this playlist pretty digestible."|PLE88E3C9C7791BD2D
8|Chemistry|Chemistry||2009-08-25T22:23:51Z|Khan Academy|Videos on chemistry (roughly covering a first-year high school or college course).|PL166048DD75B05C0D
9|Electrical engineering|Electrical engineering||2016-06-17T23:04:03Z|Khan Academy||PLSQl0a2vh4HCLqA-rhMi_Z_WnBkD3wUka
10|Physics|Physics||2007-11-02T05:29:54Z|Khan Academy|Projectile motion, mechanics and electricity and magnetism.  Solid understanding of algebra and a basic understanding of trigonometry necessary.|PLAD5B880806EBE0A4
11|Healthcare and Medicine|Healthcare and Medicine||2011-10-04T14:30:11Z|Khan Academy|Videos about medicine and the healthcare system|PL01AEFFF7C4C3C881
12|Cosmology and astronomy|Cosmology and Astronomy||2010-11-16T22:31:25Z|Khan Academy|"Videos attempting to grasp a little bit about our Universe (many of the topics associated with ""Big History"")"|PL2186CFB2CE12A8B5
13|History|World History||2017-01-26T01:30:04Z|Khan Academy||PLSQl0a2vh4HB9UeibLURBlcdR4XzputM9
14|Music|Music basics , Music , Khan Academy||2018-07-16T20:45:00Z|Khan Academy||PLSQl0a2vh4HDFvmGd8eL5PJusJqrNZ0ge
